"","date","series_id","value","realtime_start","realtime_end"
"97",1984-06-01,"GS2",12.91,2021-02-24,2021-02-24
"98",1984-07-01,"GS2",12.88,2021-02-24,2021-02-24
"99",1984-08-01,"GS2",12.43,2021-02-24,2021-02-24
"100",1984-09-01,"GS2",12.2,2021-02-24,2021-02-24
"101",1984-10-01,"GS2",11.6,2021-02-24,2021-02-24
"102",1984-11-01,"GS2",10.65,2021-02-24,2021-02-24
"103",1984-12-01,"GS2",10.18,2021-02-24,2021-02-24
"104",1985-01-01,"GS2",9.93,2021-02-24,2021-02-24
"105",1985-02-01,"GS2",10.17,2021-02-24,2021-02-24
"106",1985-03-01,"GS2",10.71,2021-02-24,2021-02-24
"107",1985-04-01,"GS2",10.09,2021-02-24,2021-02-24
"108",1985-05-01,"GS2",9.39,2021-02-24,2021-02-24
"109",1985-06-01,"GS2",8.69,2021-02-24,2021-02-24
"110",1985-07-01,"GS2",8.77,2021-02-24,2021-02-24
"111",1985-08-01,"GS2",8.94,2021-02-24,2021-02-24
"112",1985-09-01,"GS2",8.98,2021-02-24,2021-02-24
"113",1985-10-01,"GS2",8.86,2021-02-24,2021-02-24
"114",1985-11-01,"GS2",8.58,2021-02-24,2021-02-24
"115",1985-12-01,"GS2",8.15,2021-02-24,2021-02-24
"116",1986-01-01,"GS2",8.14,2021-02-24,2021-02-24
"117",1986-02-01,"GS2",7.97,2021-02-24,2021-02-24
"118",1986-03-01,"GS2",7.21,2021-02-24,2021-02-24
"119",1986-04-01,"GS2",6.7,2021-02-24,2021-02-24
"120",1986-05-01,"GS2",7.07,2021-02-24,2021-02-24
"121",1986-06-01,"GS2",7.18,2021-02-24,2021-02-24
"122",1986-07-01,"GS2",6.67,2021-02-24,2021-02-24
"123",1986-08-01,"GS2",6.33,2021-02-24,2021-02-24
"124",1986-09-01,"GS2",6.35,2021-02-24,2021-02-24
"125",1986-10-01,"GS2",6.28,2021-02-24,2021-02-24
"126",1986-11-01,"GS2",6.28,2021-02-24,2021-02-24
"127",1986-12-01,"GS2",6.27,2021-02-24,2021-02-24
"128",1987-01-01,"GS2",6.23,2021-02-24,2021-02-24
"129",1987-02-01,"GS2",6.4,2021-02-24,2021-02-24
"130",1987-03-01,"GS2",6.42,2021-02-24,2021-02-24
"131",1987-04-01,"GS2",7.02,2021-02-24,2021-02-24
"132",1987-05-01,"GS2",7.76,2021-02-24,2021-02-24
"133",1987-06-01,"GS2",7.57,2021-02-24,2021-02-24
"134",1987-07-01,"GS2",7.44,2021-02-24,2021-02-24
"135",1987-08-01,"GS2",7.75,2021-02-24,2021-02-24
"136",1987-09-01,"GS2",8.34,2021-02-24,2021-02-24
"137",1987-10-01,"GS2",8.4,2021-02-24,2021-02-24
"138",1987-11-01,"GS2",7.69,2021-02-24,2021-02-24
"139",1987-12-01,"GS2",7.86,2021-02-24,2021-02-24
"140",1988-01-01,"GS2",7.63,2021-02-24,2021-02-24
"141",1988-02-01,"GS2",7.18,2021-02-24,2021-02-24
"142",1988-03-01,"GS2",7.27,2021-02-24,2021-02-24
"143",1988-04-01,"GS2",7.59,2021-02-24,2021-02-24
"144",1988-05-01,"GS2",8,2021-02-24,2021-02-24
"145",1988-06-01,"GS2",8.03,2021-02-24,2021-02-24
"146",1988-07-01,"GS2",8.28,2021-02-24,2021-02-24
"147",1988-08-01,"GS2",8.63,2021-02-24,2021-02-24
"148",1988-09-01,"GS2",8.46,2021-02-24,2021-02-24
"149",1988-10-01,"GS2",8.35,2021-02-24,2021-02-24
"150",1988-11-01,"GS2",8.67,2021-02-24,2021-02-24
"151",1988-12-01,"GS2",9.09,2021-02-24,2021-02-24
"152",1989-01-01,"GS2",9.18,2021-02-24,2021-02-24
"153",1989-02-01,"GS2",9.37,2021-02-24,2021-02-24
"154",1989-03-01,"GS2",9.68,2021-02-24,2021-02-24
"155",1989-04-01,"GS2",9.45,2021-02-24,2021-02-24
"156",1989-05-01,"GS2",9.02,2021-02-24,2021-02-24
"157",1989-06-01,"GS2",8.41,2021-02-24,2021-02-24
"158",1989-07-01,"GS2",7.82,2021-02-24,2021-02-24
"159",1989-08-01,"GS2",8.14,2021-02-24,2021-02-24
"160",1989-09-01,"GS2",8.28,2021-02-24,2021-02-24
"161",1989-10-01,"GS2",7.98,2021-02-24,2021-02-24
"162",1989-11-01,"GS2",7.8,2021-02-24,2021-02-24
"163",1989-12-01,"GS2",7.78,2021-02-24,2021-02-24
"164",1990-01-01,"GS2",8.09,2021-02-24,2021-02-24
"165",1990-02-01,"GS2",8.37,2021-02-24,2021-02-24
"166",1990-03-01,"GS2",8.63,2021-02-24,2021-02-24
"167",1990-04-01,"GS2",8.72,2021-02-24,2021-02-24
"168",1990-05-01,"GS2",8.64,2021-02-24,2021-02-24
"169",1990-06-01,"GS2",8.35,2021-02-24,2021-02-24
"170",1990-07-01,"GS2",8.16,2021-02-24,2021-02-24
"171",1990-08-01,"GS2",8.06,2021-02-24,2021-02-24
"172",1990-09-01,"GS2",8.08,2021-02-24,2021-02-24
"173",1990-10-01,"GS2",7.88,2021-02-24,2021-02-24
"174",1990-11-01,"GS2",7.6,2021-02-24,2021-02-24
"175",1990-12-01,"GS2",7.31,2021-02-24,2021-02-24
"176",1991-01-01,"GS2",7.13,2021-02-24,2021-02-24
"177",1991-02-01,"GS2",6.87,2021-02-24,2021-02-24
"178",1991-03-01,"GS2",7.1,2021-02-24,2021-02-24
"179",1991-04-01,"GS2",6.95,2021-02-24,2021-02-24
"180",1991-05-01,"GS2",6.78,2021-02-24,2021-02-24
"181",1991-06-01,"GS2",6.96,2021-02-24,2021-02-24
"182",1991-07-01,"GS2",6.92,2021-02-24,2021-02-24
"183",1991-08-01,"GS2",6.43,2021-02-24,2021-02-24
"184",1991-09-01,"GS2",6.18,2021-02-24,2021-02-24
"185",1991-10-01,"GS2",5.91,2021-02-24,2021-02-24
"186",1991-11-01,"GS2",5.56,2021-02-24,2021-02-24
"187",1991-12-01,"GS2",5.03,2021-02-24,2021-02-24
"188",1992-01-01,"GS2",4.96,2021-02-24,2021-02-24
"189",1992-02-01,"GS2",5.21,2021-02-24,2021-02-24
"190",1992-03-01,"GS2",5.69,2021-02-24,2021-02-24
"191",1992-04-01,"GS2",5.34,2021-02-24,2021-02-24
"192",1992-05-01,"GS2",5.23,2021-02-24,2021-02-24
"193",1992-06-01,"GS2",5.05,2021-02-24,2021-02-24
"194",1992-07-01,"GS2",4.36,2021-02-24,2021-02-24
"195",1992-08-01,"GS2",4.19,2021-02-24,2021-02-24
"196",1992-09-01,"GS2",3.89,2021-02-24,2021-02-24
"197",1992-10-01,"GS2",4.08,2021-02-24,2021-02-24
"198",1992-11-01,"GS2",4.58,2021-02-24,2021-02-24
"199",1992-12-01,"GS2",4.67,2021-02-24,2021-02-24
"200",1993-01-01,"GS2",4.39,2021-02-24,2021-02-24
"201",1993-02-01,"GS2",4.1,2021-02-24,2021-02-24
"202",1993-03-01,"GS2",3.95,2021-02-24,2021-02-24
"203",1993-04-01,"GS2",3.84,2021-02-24,2021-02-24
"204",1993-05-01,"GS2",3.98,2021-02-24,2021-02-24
"205",1993-06-01,"GS2",4.16,2021-02-24,2021-02-24
"206",1993-07-01,"GS2",4.07,2021-02-24,2021-02-24
"207",1993-08-01,"GS2",4,2021-02-24,2021-02-24
"208",1993-09-01,"GS2",3.85,2021-02-24,2021-02-24
"209",1993-10-01,"GS2",3.87,2021-02-24,2021-02-24
"210",1993-11-01,"GS2",4.16,2021-02-24,2021-02-24
"211",1993-12-01,"GS2",4.21,2021-02-24,2021-02-24
"212",1994-01-01,"GS2",4.14,2021-02-24,2021-02-24
"213",1994-02-01,"GS2",4.47,2021-02-24,2021-02-24
"214",1994-03-01,"GS2",5,2021-02-24,2021-02-24
"215",1994-04-01,"GS2",5.55,2021-02-24,2021-02-24
"216",1994-05-01,"GS2",5.97,2021-02-24,2021-02-24
"217",1994-06-01,"GS2",5.93,2021-02-24,2021-02-24
"218",1994-07-01,"GS2",6.13,2021-02-24,2021-02-24
"219",1994-08-01,"GS2",6.18,2021-02-24,2021-02-24
"220",1994-09-01,"GS2",6.39,2021-02-24,2021-02-24
"221",1994-10-01,"GS2",6.73,2021-02-24,2021-02-24
"222",1994-11-01,"GS2",7.15,2021-02-24,2021-02-24
"223",1994-12-01,"GS2",7.59,2021-02-24,2021-02-24
"224",1995-01-01,"GS2",7.51,2021-02-24,2021-02-24
"225",1995-02-01,"GS2",7.11,2021-02-24,2021-02-24
"226",1995-03-01,"GS2",6.78,2021-02-24,2021-02-24
"227",1995-04-01,"GS2",6.57,2021-02-24,2021-02-24
"228",1995-05-01,"GS2",6.17,2021-02-24,2021-02-24
"229",1995-06-01,"GS2",5.72,2021-02-24,2021-02-24
"230",1995-07-01,"GS2",5.78,2021-02-24,2021-02-24
"231",1995-08-01,"GS2",5.98,2021-02-24,2021-02-24
"232",1995-09-01,"GS2",5.81,2021-02-24,2021-02-24
