"","date","series_id","value","realtime_start","realtime_end"
"1",1977-02-01,"GS30",7.75,2021-02-24,2021-02-24
"2",1977-03-01,"GS30",7.8,2021-02-24,2021-02-24
"3",1977-04-01,"GS30",7.73,2021-02-24,2021-02-24
"4",1977-05-01,"GS30",7.8,2021-02-24,2021-02-24
"5",1977-06-01,"GS30",7.64,2021-02-24,2021-02-24
"6",1977-07-01,"GS30",7.64,2021-02-24,2021-02-24
"7",1977-08-01,"GS30",7.68,2021-02-24,2021-02-24
"8",1977-09-01,"GS30",7.64,2021-02-24,2021-02-24
"9",1977-10-01,"GS30",7.77,2021-02-24,2021-02-24
"10",1977-11-01,"GS30",7.85,2021-02-24,2021-02-24
"11",1977-12-01,"GS30",7.94,2021-02-24,2021-02-24
"12",1978-01-01,"GS30",8.18,2021-02-24,2021-02-24
"13",1978-02-01,"GS30",8.25,2021-02-24,2021-02-24
"14",1978-03-01,"GS30",8.23,2021-02-24,2021-02-24
"15",1978-04-01,"GS30",8.34,2021-02-24,2021-02-24
"16",1978-05-01,"GS30",8.43,2021-02-24,2021-02-24
"17",1978-06-01,"GS30",8.5,2021-02-24,2021-02-24
"18",1978-07-01,"GS30",8.65,2021-02-24,2021-02-24
"19",1978-08-01,"GS30",8.47,2021-02-24,2021-02-24
"20",1978-09-01,"GS30",8.47,2021-02-24,2021-02-24
"21",1978-10-01,"GS30",8.67,2021-02-24,2021-02-24
"22",1978-11-01,"GS30",8.75,2021-02-24,2021-02-24
"23",1978-12-01,"GS30",8.88,2021-02-24,2021-02-24
"24",1979-01-01,"GS30",8.94,2021-02-24,2021-02-24
"25",1979-02-01,"GS30",9,2021-02-24,2021-02-24
"26",1979-03-01,"GS30",9.03,2021-02-24,2021-02-24
"27",1979-04-01,"GS30",9.08,2021-02-24,2021-02-24
"28",1979-05-01,"GS30",9.19,2021-02-24,2021-02-24
"29",1979-06-01,"GS30",8.92,2021-02-24,2021-02-24
"30",1979-07-01,"GS30",8.93,2021-02-24,2021-02-24
"31",1979-08-01,"GS30",8.98,2021-02-24,2021-02-24
"32",1979-09-01,"GS30",9.17,2021-02-24,2021-02-24
"33",1979-10-01,"GS30",9.85,2021-02-24,2021-02-24
"34",1979-11-01,"GS30",10.3,2021-02-24,2021-02-24
"35",1979-12-01,"GS30",10.12,2021-02-24,2021-02-24
"36",1980-01-01,"GS30",10.6,2021-02-24,2021-02-24
"37",1980-02-01,"GS30",12.13,2021-02-24,2021-02-24
"38",1980-03-01,"GS30",12.34,2021-02-24,2021-02-24
"39",1980-04-01,"GS30",11.4,2021-02-24,2021-02-24
"40",1980-05-01,"GS30",10.36,2021-02-24,2021-02-24
"41",1980-06-01,"GS30",9.81,2021-02-24,2021-02-24
"42",1980-07-01,"GS30",10.24,2021-02-24,2021-02-24
"43",1980-08-01,"GS30",11,2021-02-24,2021-02-24
"44",1980-09-01,"GS30",11.34,2021-02-24,2021-02-24
"45",1980-10-01,"GS30",11.59,2021-02-24,2021-02-24
"46",1980-11-01,"GS30",12.37,2021-02-24,2021-02-24
"47",1980-12-01,"GS30",12.4,2021-02-24,2021-02-24
"48",1981-01-01,"GS30",12.14,2021-02-24,2021-02-24
"49",1981-02-01,"GS30",12.8,2021-02-24,2021-02-24
