"","date","series_id","value","realtime_start","realtime_end"
"94",1989-06-01,"GS3M",8.43,2021-02-24,2021-02-24
"95",1989-07-01,"GS3M",8.15,2021-02-24,2021-02-24
"96",1989-08-01,"GS3M",8.17,2021-02-24,2021-02-24
"97",1989-09-01,"GS3M",8.01,2021-02-24,2021-02-24
"98",1989-10-01,"GS3M",7.9,2021-02-24,2021-02-24
"99",1989-11-01,"GS3M",7.94,2021-02-24,2021-02-24
"100",1989-12-01,"GS3M",7.88,2021-02-24,2021-02-24
"101",1990-01-01,"GS3M",7.9,2021-02-24,2021-02-24
"102",1990-02-01,"GS3M",8,2021-02-24,2021-02-24
"103",1990-03-01,"GS3M",8.17,2021-02-24,2021-02-24
"104",1990-04-01,"GS3M",8.04,2021-02-24,2021-02-24
"105",1990-05-01,"GS3M",8.01,2021-02-24,2021-02-24
"106",1990-06-01,"GS3M",7.99,2021-02-24,2021-02-24
"107",1990-07-01,"GS3M",7.87,2021-02-24,2021-02-24
"108",1990-08-01,"GS3M",7.69,2021-02-24,2021-02-24
"109",1990-09-01,"GS3M",7.6,2021-02-24,2021-02-24
"110",1990-10-01,"GS3M",7.4,2021-02-24,2021-02-24
"111",1990-11-01,"GS3M",7.29,2021-02-24,2021-02-24
"112",1990-12-01,"GS3M",6.95,2021-02-24,2021-02-24
"113",1991-01-01,"GS3M",6.41,2021-02-24,2021-02-24
"114",1991-02-01,"GS3M",6.12,2021-02-24,2021-02-24
"115",1991-03-01,"GS3M",6.09,2021-02-24,2021-02-24
"116",1991-04-01,"GS3M",5.83,2021-02-24,2021-02-24
"117",1991-05-01,"GS3M",5.63,2021-02-24,2021-02-24
"118",1991-06-01,"GS3M",5.75,2021-02-24,2021-02-24
"119",1991-07-01,"GS3M",5.75,2021-02-24,2021-02-24
"120",1991-08-01,"GS3M",5.5,2021-02-24,2021-02-24
"121",1991-09-01,"GS3M",5.37,2021-02-24,2021-02-24
"122",1991-10-01,"GS3M",5.14,2021-02-24,2021-02-24
"123",1991-11-01,"GS3M",4.69,2021-02-24,2021-02-24
"124",1991-12-01,"GS3M",4.18,2021-02-24,2021-02-24
"125",1992-01-01,"GS3M",3.91,2021-02-24,2021-02-24
"126",1992-02-01,"GS3M",3.95,2021-02-24,2021-02-24
"127",1992-03-01,"GS3M",4.14,2021-02-24,2021-02-24
"128",1992-04-01,"GS3M",3.84,2021-02-24,2021-02-24
"129",1992-05-01,"GS3M",3.72,2021-02-24,2021-02-24
"130",1992-06-01,"GS3M",3.75,2021-02-24,2021-02-24
"131",1992-07-01,"GS3M",3.28,2021-02-24,2021-02-24
"132",1992-08-01,"GS3M",3.2,2021-02-24,2021-02-24
"133",1992-09-01,"GS3M",2.97,2021-02-24,2021-02-24
"134",1992-10-01,"GS3M",2.93,2021-02-24,2021-02-24
"135",1992-11-01,"GS3M",3.21,2021-02-24,2021-02-24
"136",1992-12-01,"GS3M",3.29,2021-02-24,2021-02-24
"137",1993-01-01,"GS3M",3.07,2021-02-24,2021-02-24
"138",1993-02-01,"GS3M",2.99,2021-02-24,2021-02-24
"139",1993-03-01,"GS3M",3.01,2021-02-24,2021-02-24
"140",1993-04-01,"GS3M",2.93,2021-02-24,2021-02-24
"141",1993-05-01,"GS3M",3.03,2021-02-24,2021-02-24
"142",1993-06-01,"GS3M",3.14,2021-02-24,2021-02-24
"143",1993-07-01,"GS3M",3.11,2021-02-24,2021-02-24
"144",1993-08-01,"GS3M",3.09,2021-02-24,2021-02-24
"145",1993-09-01,"GS3M",3.01,2021-02-24,2021-02-24
"146",1993-10-01,"GS3M",3.09,2021-02-24,2021-02-24
"147",1993-11-01,"GS3M",3.18,2021-02-24,2021-02-24
"148",1993-12-01,"GS3M",3.13,2021-02-24,2021-02-24
"149",1994-01-01,"GS3M",3.04,2021-02-24,2021-02-24
"150",1994-02-01,"GS3M",3.33,2021-02-24,2021-02-24
"151",1994-03-01,"GS3M",3.59,2021-02-24,2021-02-24
"152",1994-04-01,"GS3M",3.78,2021-02-24,2021-02-24
"153",1994-05-01,"GS3M",4.27,2021-02-24,2021-02-24
"154",1994-06-01,"GS3M",4.25,2021-02-24,2021-02-24
"155",1994-07-01,"GS3M",4.46,2021-02-24,2021-02-24
"156",1994-08-01,"GS3M",4.61,2021-02-24,2021-02-24
"157",1994-09-01,"GS3M",4.75,2021-02-24,2021-02-24
"158",1994-10-01,"GS3M",5.1,2021-02-24,2021-02-24
"159",1994-11-01,"GS3M",5.45,2021-02-24,2021-02-24
"160",1994-12-01,"GS3M",5.76,2021-02-24,2021-02-24
"161",1995-01-01,"GS3M",5.9,2021-02-24,2021-02-24
"162",1995-02-01,"GS3M",5.94,2021-02-24,2021-02-24
"163",1995-03-01,"GS3M",5.91,2021-02-24,2021-02-24
"164",1995-04-01,"GS3M",5.84,2021-02-24,2021-02-24
"165",1995-05-01,"GS3M",5.85,2021-02-24,2021-02-24
"166",1995-06-01,"GS3M",5.64,2021-02-24,2021-02-24
"167",1995-07-01,"GS3M",5.59,2021-02-24,2021-02-24
"168",1995-08-01,"GS3M",5.57,2021-02-24,2021-02-24
"169",1995-09-01,"GS3M",5.43,2021-02-24,2021-02-24
"170",1995-10-01,"GS3M",5.44,2021-02-24,2021-02-24
"171",1995-11-01,"GS3M",5.52,2021-02-24,2021-02-24
"172",1995-12-01,"GS3M",5.29,2021-02-24,2021-02-24
"173",1996-01-01,"GS3M",5.15,2021-02-24,2021-02-24
"174",1996-02-01,"GS3M",4.96,2021-02-24,2021-02-24
"175",1996-03-01,"GS3M",5.1,2021-02-24,2021-02-24
"176",1996-04-01,"GS3M",5.09,2021-02-24,2021-02-24
"177",1996-05-01,"GS3M",5.15,2021-02-24,2021-02-24
"178",1996-06-01,"GS3M",5.23,2021-02-24,2021-02-24
"179",1996-07-01,"GS3M",5.3,2021-02-24,2021-02-24
"180",1996-08-01,"GS3M",5.19,2021-02-24,2021-02-24
"181",1996-09-01,"GS3M",5.24,2021-02-24,2021-02-24
"182",1996-10-01,"GS3M",5.12,2021-02-24,2021-02-24
"183",1996-11-01,"GS3M",5.17,2021-02-24,2021-02-24
"184",1996-12-01,"GS3M",5.04,2021-02-24,2021-02-24
"185",1997-01-01,"GS3M",5.17,2021-02-24,2021-02-24
