"","date","series_id","value","realtime_start","realtime_end"
"97",1961-04-01,"GS10",3.78,2021-02-24,2021-02-24
"98",1961-05-01,"GS10",3.71,2021-02-24,2021-02-24
"99",1961-06-01,"GS10",3.88,2021-02-24,2021-02-24
"100",1961-07-01,"GS10",3.92,2021-02-24,2021-02-24
"101",1961-08-01,"GS10",4.04,2021-02-24,2021-02-24
"102",1961-09-01,"GS10",3.98,2021-02-24,2021-02-24
"103",1961-10-01,"GS10",3.92,2021-02-24,2021-02-24
"104",1961-11-01,"GS10",3.94,2021-02-24,2021-02-24
"105",1961-12-01,"GS10",4.06,2021-02-24,2021-02-24
"106",1962-01-01,"GS10",4.08,2021-02-24,2021-02-24
"107",1962-02-01,"GS10",4.04,2021-02-24,2021-02-24
"108",1962-03-01,"GS10",3.93,2021-02-24,2021-02-24
"109",1962-04-01,"GS10",3.84,2021-02-24,2021-02-24
"110",1962-05-01,"GS10",3.87,2021-02-24,2021-02-24
"111",1962-06-01,"GS10",3.91,2021-02-24,2021-02-24
"112",1962-07-01,"GS10",4.01,2021-02-24,2021-02-24
"113",1962-08-01,"GS10",3.98,2021-02-24,2021-02-24
"114",1962-09-01,"GS10",3.98,2021-02-24,2021-02-24
"115",1962-10-01,"GS10",3.93,2021-02-24,2021-02-24
"116",1962-11-01,"GS10",3.92,2021-02-24,2021-02-24
"117",1962-12-01,"GS10",3.86,2021-02-24,2021-02-24
"118",1963-01-01,"GS10",3.83,2021-02-24,2021-02-24
"119",1963-02-01,"GS10",3.92,2021-02-24,2021-02-24
"120",1963-03-01,"GS10",3.93,2021-02-24,2021-02-24
"121",1963-04-01,"GS10",3.97,2021-02-24,2021-02-24
"122",1963-05-01,"GS10",3.93,2021-02-24,2021-02-24
"123",1963-06-01,"GS10",3.99,2021-02-24,2021-02-24
"124",1963-07-01,"GS10",4.02,2021-02-24,2021-02-24
"125",1963-08-01,"GS10",4,2021-02-24,2021-02-24
"126",1963-09-01,"GS10",4.08,2021-02-24,2021-02-24
"127",1963-10-01,"GS10",4.11,2021-02-24,2021-02-24
"128",1963-11-01,"GS10",4.12,2021-02-24,2021-02-24
"129",1963-12-01,"GS10",4.13,2021-02-24,2021-02-24
"130",1964-01-01,"GS10",4.17,2021-02-24,2021-02-24
"131",1964-02-01,"GS10",4.15,2021-02-24,2021-02-24
"132",1964-03-01,"GS10",4.22,2021-02-24,2021-02-24
"133",1964-04-01,"GS10",4.23,2021-02-24,2021-02-24
"134",1964-05-01,"GS10",4.2,2021-02-24,2021-02-24
"135",1964-06-01,"GS10",4.17,2021-02-24,2021-02-24
"136",1964-07-01,"GS10",4.19,2021-02-24,2021-02-24
"137",1964-08-01,"GS10",4.19,2021-02-24,2021-02-24
"138",1964-09-01,"GS10",4.2,2021-02-24,2021-02-24
"139",1964-10-01,"GS10",4.19,2021-02-24,2021-02-24
"140",1964-11-01,"GS10",4.15,2021-02-24,2021-02-24
"141",1964-12-01,"GS10",4.18,2021-02-24,2021-02-24
"142",1965-01-01,"GS10",4.19,2021-02-24,2021-02-24
"143",1965-02-01,"GS10",4.21,2021-02-24,2021-02-24
"144",1965-03-01,"GS10",4.21,2021-02-24,2021-02-24
"145",1965-04-01,"GS10",4.2,2021-02-24,2021-02-24
